,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
10,INTEGRATION ANALYST,King Faisal Specialist Hospital & Research Centre,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/King Faisal Specialist Hospital & Research Centre-Saudi Arabia-94630,"Riyadh, Saudi Arabia",Posted 20 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,information technology (it) - computer science - software development - software engineering - testing - analyst - business - development - it - data - system integration - security ,,not mentioned
11,Tax Vat Analyst,I-Talent,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/I-Talent-United Arab Emirates-91369,alent ,Posted 16 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,2000 to 3000 USD Per Month,Accounting/Finance - Human Resources - Analyst/Research ,Accounting - Finance - Microsoft Office - Tax - Commerce - ACCA - Arabic - CAP - English - Data Management - Financial Management - Human Resources (HR) - Recruitment - Research - Resourcing - SAP - VAT - jQuery - Accountant - Analysis ,Create appropriate tax returns to facilitate fluent functioning of the company. - Prepare tax payments. - Understand the reports and findings of different auditing teams to formulate relevant tax-related statements. - Find effective ways to save tax and assist the senior management in the same. - Develop detailed documentation for paying taxes and filing organizational returns. - Prepare detailed tax documentation periodically to ensure no delays in the tax filing process. ,"Established record of conducting all duties related to tax filings and documentation on a professional level. - Adept Tax Accountant having a thorough knowledge of accounting activities and related duties. - Excellent analytical and time management skills. - Familiarity with accounting softwares. - BSc degree in Accounting, Finance or relevant field. - "
12,Analyst - Real Estate Strategy & Consulting,Knight Frank,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Knight Frank-Saudi Arabia-91450,"Cairo, Egypt",Posted 23 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,"Work alongside team members and assist with report writing, financial analysis, and proposal documents. - Maintain/update internal databases. - Conduct primary research where required as critical inputs to project work. - Source and update secondary data. - Have an understanding and appreciation of Middle East macro-economics and drivers of development strategies and real estate sector growth. - Keep abreast of key trends/developments in real estate regionally and globally in order to provide informed opinion. - Contribute to business development where possible and attend networking events. - Liaise with other internal departments to coordinate inputs for reports. Cross sell opportunities into local and international teams. - Communicate fully with all stakeholders and colleagues to ensure the delivery of tasks are managed in an efficient and professional manner. - Build and maintain goodwill, confidentiality, and trust with prospective and existing clients at all times in order to foster the professional image of the Partnership. - Completing deliverables to tight deadlines means that the ability to get on with colleagues and a flexible attitude towards office hours are as important as technical skills & experience. - Increasingly demanding clients create a need for continuing development of research services and innovative solutions to client requirements. - Requirement to provide high quality, user-friendly & value for money service. - Excel - PowerPoint - Word - Outlook - Relevant bachelor’s degree from a reputable university. - Good interpersonal & communications skills for both written and oral presentations. - Clear and logical thinker with well-developed report writing skills. - Strong team player with the ability to build relationships. - Flexible attitude towards travelling. ",not mentioned
13,Business Analyst - Multinational Company,Pillars,"Human Resources, Recruitment and Staffing","Cairo, Egypt • 1-10 employees",https://wuzzuf.net/jobs/careers/Pillars-Egypt-4586,"Cairo, Egypt",Posted 22 days ago,2023-10-11,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,Business Development - IT/Software Development - Analyst/Research ,Analysis - business - Business Analysis - Information Technology (IT) - Data Analysis - English - Management - Computer Science - SAP S/4 Hana ,"Evaluating existing business processes across business functions (Finance, Supply Chain, Sales, Production) and identifying areas for improvement in line with best practices and industry standards - Serving as a thought leader for business processes that promote increased efficiency and productivity on multiple levels - Identifying substandard systems and processes through the evaluation of real-time operational and commercial data and outlining the business impact - Creating functional specifications for proposed solutions​ and liaising with various stakeholders for the sign-off - Creating precise management plans for every project, with attention to transparent communication at all levels - Supporting business transition and helping to establish change - Staying up-to-date on the latest processes and IT advancements to automate and modernize systems and processes. ","A bachelor’s degree in business or related field. A master's degree such as an MBA will be advantageous. - A minimum of 3 years of experience in business analysis preferably in a manufacturing industry. Experience with SAP S/4 Hana will be preferred. - Ability to interpret quantitative and qualitative data analysis to improve project delivery - Proven ability to manage medium-scale projects and user testing - Proficient in writing SQL queries - Strong working knowledge of MS Office suite, including Visio - Excellent planning, organizational, and time management skills. - Excellent verbal and written communication skills in English - "
14,Business Analyst,Aman,Retail,"Giza, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Aman-Egypt-18390,"6th of October, Giza",Posted 20 days ago,2023-10-11,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Engineering - Telecom/Technology ,Analysis - Business Analysis - Information Technology (IT) - Computer Science - IT - SQL - systems analysis - Technical Writing - business - Data - quality ,"Examine current and new business procedures. - Identify effective solutions for business software system challenges. - Recommend solutions for improving and restructuring company procedures, and clarify these solutions for stakeholders using UML methodologies - Establish specifications for new projects by developing project goals, phases, and budget. - Elicit new business requirements with stakeholders, then clarify specifications to technical and business team. - Perform UAT session to stakeholders in order to take a sign off to launch the new projects, and present high level requirements to management team through BRD. ",Previous experience in Business / Systems Analysis or Quality Assurance - A degree in IT / Computer Science - Proven experience in eliciting requirements and testing - Experience in analysing data to draw business-relevant conclusions and in data visualization techniques and tools - Solid experience in writing SQL queries - Basic knowledge in generating process documentation - Strong written and verbal communication skills including technical writing skills - 
15,Senior Data Analyst,Sceel.io,"Computer Software, Outsourcing/Offshoring, Recruitment and Staffing","Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/sceel-Egypt-73908,"Maadi, Cairo",Posted 1 month ago,2023-10-11,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Analyst - BI - Communication skills - Computer Science - Data - Data Analysis - Data Analyst - Information Technology (IT) - MySQL - SQL - English ,,
16,Analyst - Innovation & Excellence,Higher Colleges of Technology,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Higher Colleges of Technology-United Arab Emirates-91720,"Dubai, United Arab Emirates",Posted 25 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,,not mentioned
17,Senior Customer Insights Analyst (CX),MRSOOL Inc,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/MRSOOL Inc-Saudi Arabia-92622,"Cairo, Egypt",Posted 25 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,Customer Service/Support - Marketing/PR/Advertising - Analyst/Research ,Market Research - Marketing - Statistics - Analysis - Commercial Insights - Computer Science - Customer Care - Customer Service - Customer Support - E-Commerce - Information Technology (IT) - Big Data - Business Analysis - Communication Engineering - Consumer Insights - Core - Crowd Sourcing - Customer Acquisition - Customer Insights - Customer Retention ,"Work closely with the CX program managers to understand their analytics needs and deliver ad-hoc reports/dashboards to support program delivery.  - Build and maintain customer-centric data models, reports and dashboards. Create and maintain rich interactive visualizations through data interpretation and analysis from multiple data sources. - Adapt a data-driven approach to investigate and uncover customer experience pain points. - Advise on which areas in CX need improvement by identifying trends and patterns and deriving actionable insights from multi-dimensional data sets.  - Report identified trends, insights and customer experience challenges and opportunities to CX leadership.  - Support effective decision-making by interpreting and distilling diverse data points into a coherent and crisp storyline that highlights the underlying customer experience problems. - Bachelor's degree in Science, Statistics, Technology, Engineering, or related fields. - 5+ years of experience in data analytics. - Proven hands-on knowledge of SQL/Python/R or similar data analytics languages.   - Experience in working with and understanding data and analytics tools and platforms including Data Warehouses, and Tableau. - Excellent verbal and written communication skills, with the ability to interact with stakeholders at all levels of the organization, including external parties. - Comfortable working in an ambiguous and dynamic environment and ability to perform under pressure. - Flexibility to respond quickly to change and reprioritize in the face of needs. - Experience working in customer experience or customer service is a plus. ",not mentioned
18,Analyst - Compensations,Sidra Medical and Research Center,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Sidra Medical and Research Center-Qatar-91891,"Doha, Qatar",Posted 28 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,"Receives and investigates salary inquiries raised by department management for promotions and salary increases. Prepares recommendations and follows up as required. - Processes all the employees’ approved change requests (i.e. Promotions, Salary adjustment, title change, re-classification and re-evaluation). - Prepares and processes Employee Change Requests (ECR). - Processes Sidra’s tax assistance and protection program in collaboration with Sidra approved vendor. - Processes Medical and Life Insurance operations across Sidra. - Ensures e-files are updated timely and accurately. - Answers queries raised by the branches and arranges meeting with them, if required. - Adheres to Sidra’s standards as they appear in the Code of Conduct and Conflict of Interest policies - Adheres to and promotes Sidra’s Values - Demonstrated knowledge of quantitative, analytical and statistical analysis. - Demonstrated knowledge in survey data analysis, compensation and benefits modeling and implementation. - Ability to work with large quantities of sensitive data. - Thorough knowledge and understanding of contemporary job design, evaluation and grading frameworks. - Team player with interpersonal skills and demonstrated ability to successfully execute action plans.  - Ability to work in a confidential environment. - Strong interpersonal, communication and customer service skills. - Proficiency with Microsoft Office suite - Fluency in written and spoken English ",not mentioned
19,Analyst - Service Design,Sidra Medical and Research Center,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Sidra Medical and Research Center-Qatar-91891,"Doha, Qatar",Posted 28 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,,not mentioned
20,Business Analyst,Fursaty Careers/Learn to B HR Consultancy,unknown,"Ajman, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Fursaty Careers/Learn to B HR Consultancy-United Arab Emirates-93301,"Dubai, United Arab Emirates",Posted 3 hours ago,2023-10-11,More than 2 years,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Business Analysis - Information Technology (IT) - Computer Science - Analysis - Software Development - Software - Computer Engineering - Engineering - Business - Agile - Analyst - Software Engineering - Business Development - Microsoft Office - SQL - Research - System Analysis - Business Analyst - English - Project Management ,"Collaborate closely with department head and stakeholders to understand operational goals and challenges, leveraging data-driven insights to support decision-making. - Develop, maintain, and optimize operational dashboards and reports to monitor key performance indicators (KPIs) and provide actionable insights. - Analyze large and complex datasets to identify trends, patterns, and opportunities for process improvement and cost savings. - Conduct in-depth root cause analysis to identify operational inefficiencies and propose targeted solutions for enhancement. - Drive data-driven continuous improvement initiatives by identifying areas for process optimization, resource allocation, and workflow automation. - Utilize advanced data analysis techniques to forecast trends, model scenarios, and support strategic planning efforts. - Collaborate with IT teams to ensure data accuracy, availability, and integration across various systems and platforms. - Develop and deliver comprehensive presentations, reports, and recommendations to stakeholders and leadership. - Stay informed about industry best practices, emerging trends, and technologies related to healthcare operations and data analytics. ",
21,Analyst,DAMAC Properties,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/DAMAC Properties-United Arab Emirates-91673,"Dubai, United Arab Emirates",Posted 29 days ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,"Conduct business process mapping exercises and contribute to re-engineering projects across departments, functions, and group activities.  - Develop and maintain business process documentation (including policies, process maps, quality, and controls framework, KPIs, etc…), desktop procedures, training documents, etc. Monitor changes and provides timely updates to the business process library using adequate BPM systems (Visio / ARIS). - Evaluate existing processes (“as is”), analyze implemented changes, and recommend adjustments to workflows, systems, schedules, or other processes (“to be”) to drive adoption, address control gaps, or identify efficiency opportunities. - Contribute to transformation projects as required, including project management and staff training.  - Provide transparent and timely updates on activities and performance to enable the senior management in keeping a track of ongoing activities.  - Maintains confidentiality of all information shared at all times. - Comply with company and functional governance and control requirements. - Build and maintain relationships with senior stakeholders and third party consultants to understand business requirements, align objectives, drive progress & accountability of project from conception to completion - Follow all relevant departmental policies, processes, standard operating procedures, and instructions so that work is carried out in a controlled and consistent manner. - Demonstrate compliance to organization’s values and ethics at all times to support the establishment of a value drive culture within the organization - Contribute to the identification of opportunities for continuous improvement and sustainability of systems, processes and practices considering global standards, productivity improvement and cost reduction. - Bachelors in Finance / Business / Engineering  / Management - Project Management Professional (PMP), Six-Sigma Belt certification is preferred - Must have at least 3 years of relevant experience having worked within a consulting house or large corporate organizations - Business Process Management expert with regional experience - Excellent articulate communication skills  and ability to clearly set expectations and execute  ",not mentioned
22,Sales Analyst,Nahdet Misr Publishing Group,Publishing and Printing,"Giza, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Mohandessin, Giza",Posted 28 days ago,2023-10-11,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research - Sales/Retail ,Analysis - Data Analysis - Sales - Sales Analysis - Data - Microsoft Office ,Collect data from sales reports for analysis - Develop methods and strategies for assessing large amounts of data - Study past sales data to determine trends in productivity - Examine company budget - Conduct research into competitive companies and the surrounding market - Study shopping and purchase trends of consumer base and target demographic - Use sales prediction software to determine future trends - Create sales evaluation reports based on collected data ,Strong research and data analysis skills. - Proficiency in Microsoft office . - Strong communication and presentation skills. - Years of experience from 3-5. - 
23,Financial Analyst,Nacita,"Automotive, Logistics and Supply Chain","Cairo, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Nacita-Egypt-22041,"Giza, Egypt",Posted 1 day ago,2023-10-11,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, - Social Insurance
- Medical Insurance",Accounting/Finance ,Finance - Analyst - Junior Financial Analyst - Commerce - Analysis - Accounting - Communication skills - Forecasting ,"Conduct financial analysis by reviewing financial statements, performing ratio analysis, identifying trends, and assessing financial performance. - Collect and compile financial data from various sources, interpret the data, and prepare reports, charts, and graphs to present findings. - Assist in the preparation of budgets and financial forecasts by analyzing historical data, identifying patterns, and making projections. - Produce monthly reports, which include key metrics, financial results, variance reporting. - Prepare the appropriate templates to prepare annual budgets for all concerned departments. - Build and maintain financial models to support strategic planning, investment analysis, and pricing decisions. - Analyze and explain variances between actual financial results and budgeted/forecasted figures, investigating and reporting on the underlying causes. - Assist in evaluating financial risks and assessing their potential impact on the organization's financial performance. - Stay updated on industry trends, economic conditions, and competitor activities to provide insights and recommendations for business decisions. - Prepare and present financial reports, summaries, and presentations to management and other stakeholders. ",
24,Business Analyst - Ecommerce - Hamad M. Al Rugaib & Sons Trading Co.,Qureos,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Qureos-Saudi Arabia-95298,"Riyadh, Saudi Arabia",Posted 1 day ago,2023-10-11,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Business Analysis - Information Technology (IT) - Computer Science - Analysis - Software Development - Software - Computer Engineering - Engineering - Business - Agile - Analyst - Software Engineering - Business Development - Microsoft Office - SQL - Research - System Analysis - Business Analyst - English - Project Management ,"Pricing management across all digital platforms. - Manage product data consistency & maintain images and other digital assets through systems. - Report and analyze customer behavior & sales Key Performance Indicators and website - Work closely with marketing & merchandising teams to ensure that the right products and - Optimize content utilizing keywords and phrases to maximize SEO. - Manage products & partnerships with all ecommerce platforms (Amazon, Noon, etc.) - Account management and online sales planning - Building new landing pages on websites. - Developing technical changes on websites. - Strong analytical and critical thinking skills - Strong communication skills - Amazon Vendor or Seller Central experience strongly preferred - Focus on product data integrity - Experience in ecommerce - Advanced experience with Microsoft Excel - Experience in building websites in platforms like Shopify, WordPress, Magento, etc. - Analyzing data to make decisions - Account management, sales planning and business development experience - Bachelor’s degree or higher in Computer Science, Information Systems, Marketing, or Business ",not mentioned
25,Senior Financial Analyst,Confidential Company ,unknown,unknown,unknown,"Cairo, Egypt",Posted 3 days ago,2023-10-11,8 to 12 years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance - Analyst/Research ,Accounting - Analyst - Auditing - CPA - analytical - Finance - Financial Analysis - Certified Internal Auditor (CIA) ,Develop financial models through benchmarking and process analysis - Forecast quarterly and annual profits - Prepare cost projections - Analyze and report on current financial status - Conduct thorough research of historical financial data - Explore investment options and present risk and opportunities - Compare anticipated and actual results and identify areas of improvement - Participate in budgeting (for departments and projects) - Review accounting transactions for data accuracy - Establish financial policies - Maintain confidentiality of financial information and investment decisions ,"Proven work experience as a Senior Financial Analyst, Financial Analyst or similar role - experience in financial auditing is a plus - Hands-on experience with financial and statistical software - Expertise in MS Excel (creating spreadsheets and using advanced formulas) - Familiarity with finance databases - Understanding of Enterprise Resource Planning systems (ERP) - Up-to-date with accounting laws and regulations - Excellent analytical skills - Ability to present financial data using detailed reports and charts - Demonstrable strategic thinking skills - Confidentiality in handling sensitive financial information - BS degree in Finance, Accounting or Economics - Relevant certification (e.g. CFA/CPA) is a plus - "
