,Unnamed: 0,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
10,10.0,Data Analyst,2CooM,Management Consulting,"Giza, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/2CooM-Egypt-86048,"6th of October, Giza",Posted 24 days ago,2023-11-26,1 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research ,Analyst - Computer Science - Data Analyst - Python - SQL ,,"Bachelor's degree in a quantitative field such as mathematics, statistics, computer science, or a related discipline.  - Proven experience as a data analyst or similar role. -  Proficiency in data manipulation and analysis tools such as SQL, Python, R, or similar. -  Strong analytical skills with the ability to work with complex datasets. -  Experience with data visualization tools such as Tableau, Power BI, or similar. -  Familiarity with statistical analysis techniques, predictive modeling, and machine learning algorithms.  - Excellent problem-solving skills and attention to detail.  - Strong written and verbal communication skills. -  Ability to work independently and collaborate effectively in a team environment. - "
11,11.0,Data Analyst,Al Asdekaa Group for Dairies Production and Trading,"FMCG, Dairy, Retail","Alexandria, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/ElAsdekaa-for-Dairy-industries-Egypt-70651,"Alexandria, Egypt",Posted 25 days ago,2023-11-26,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Quarter Bonus",Marketing/PR/Advertising - Analyst/Research ,Data - Data Analyst - Python ,"Prepare reports on findings while illustrating data with graphs and translating complex results into written texts that are clear and understandable - Devise and assess procedures and methods for data collection, including opinion polls, surveys and questionnaires - Conduct research regarding marketing strategies and consumer opinions while collaborating with statisticians, marketing professionals and pollsters - Track and forecast trends in sales and marketing, and analyze in detail the data collected to provide management with thorough reports and results - Collect and analyze data regarding customer preferences, demographics, buying habits and needs to better identify market potential and factors influencing product demand - Attend staff conferences in order to provide management with proposals and information on the distribution, promotion, pricing and design of products and services - Measure the effectiveness of advertising, marketing and communications strategies. - Data Cleaning.  ",Work experience as a Data Analyst or similar role - Expertise in Analytics - In-depth understanding of Python  practices - Excellent knowledge of MS Excel - Analytical abilities - BSc in  relevant field - Alexandria Resident only. - 
12,12.0,Data Analyst,Ajar,unknown,"Kuwait City, Kuwait • ",https://wuzzuf.net/jobs/careers/Ajar-Kuwait-94741,"Kuwait City, Kuwait",Posted 23 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,"Build data and analytics features to enhance Ajar's product offering. - Build and maintain user tracking initiatives. - Assist in designing and maintaining a data warehouse as well as other analytics architecture that would be needed for dashboards, analysis, and roadmaps. - Partner closely with the cross-functional teams to identify, define, collect, and track key business metrics for products or business processes. - Regularly analyze data and report it to stakeholders to make data-driven decisions. - Enable Ajar stakeholders to take quick action based on decisions backed by data. - Help define the metrics and KPIs for the Ajar business line. Publish & communicate metrics on a regular basis to help teams take proactive actions. - Work with the executive management to develop requirements, define success metrics, manage & execute analytical projects, and evaluate results.  - Provide technical solutions (predictive modeling/machine learning) to be able to estimate the likelihood of future events so stakeholders can take appropriate action. - Ensure high quality business reporting. - Collect and research data; quantitative, qualitative, trend and industry insights. - Analyze anomalies in data to help the team understand customer behavior, as well as the general business in a better - Bachelor's Degree in Mathematics/Computer Science/Statistics/Economics or a related field OR equivalent professional experience. Masters in Machine Learning, Data Science or Big Data is a plus.  - Proven work experience in complete data science process. - Experienced with Data Visualization. Experience in data mining would be a plus. - Skilled in SQl, statistics, data visualizations, Financial transaction analysis, Real estate analytics, Property management analytics and building data products, Predictive Modeling, Microsoft Power BI, Data Analytics. - Knowledge of data warehouse architecture. - Strong statistics skills such as distributions, statistical testing, regression, predictive analysis etc. - Dedicated, hardworking, and highly motivated individual with an intellectual curiosity to always research and learn new ways to extract, analyze and use data to further Ajar’s mission. - Data oriented personality with excellent technical, problem solving and  analytical skills. - Team player with very strong interpersonal skills. - Strong verbal and written communication skills with the ability to take a complex, ambiguous topic and turn it into a rigorously defined and well-formulated business solution and communicate the solution to the stakeholders in a clear and compelling way. ",not mentioned
13,13.0,Market Research And Data Analyst,Outservingplus,Outsourcing/Offshoring,"Giza, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652,"10th of Ramadan City, Cairo",Posted 19 days ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production ,market - Market Research - Marketing - SAS - E-Marketing - CRM ,,"Experience at least 3 years as Market research - familiar with Saap, SAS, CRM  -  have certificates related to marketing - "
14,14.0,Financial Data Analyst,Zewail City,"Higher Education, Non-Profit Organizations","Giza, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Zewail-City-Egypt-2881,"6th of October, Giza",Posted 27 days ago,2023-11-26,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Social Insurance , Medical Insurance , Transportation Point Based",Accounting/Finance - Analyst/Research ,Accounting - Analysis - business - Economics - Data - Finance - Financial - Financial Analysis - Reporting - Tableau - Forecasting ,"Assist and prepare a budget based on the performance, estimated revenue, expense reports, and past budget analysis. - Review operating budgets periodically to analyze trends affecting budget needs. - Reviews expenditures of departments to ensure compliance with budget. - Consult with his manager to ensure adjustments are made in accordance with plan changes in order to facilitate both short & long-term planning. - generate statistical data for presentation in miscellaneous budget reports - In-depth understanding of accounting standards and financial accounting statements ","BS degree in Finance, Economics, or a related field - Proficiency with MS Excel skills. - Solid Understanding of business intelligence and data visualization tools (Power BI, Tableau, etc.) - Relevant certification such as FMVA will be preferred. - Proven knowledge of financial forecasting and diagnosis, corporate finance, and information analysis - Outstanding presentation, reporting and communication skills - "
15,15.0,"CI Analyst, MID",Wehavespaceforyou,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Wehavespaceforyou-United Arab Emirates-94739,"Doha, Qatar",Posted 9 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,information technology (it) - computer science - software development - engineering - analysis - management - ci - analytical - data - analyst - business - microsoft ,,not mentioned
16,16.0,Market Analyst,BEAM Consolidated,"Chemicals, Manufacturing","Suez, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/ECOBAT-Egypt-28456,"Cairo, Egypt",Posted 5 days ago,2023-11-26,3 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,analytical - Analysis - Data Analysis - Market Analysis - Market Research - Analytics - Research - Business Research - buliding materials ,"Conducts comprehensive market research to identify trends and insights. - Analyzes competitor landscapes, providing detailed reports on competitor strategies and market share. - Transforms complex data sets into actionable insights and recommendations. - Collaborates with the digital team to evaluate campaign performance metrics. - Supports the strategic planning process with relevant data and predictions. - Engages with external research agencies when required for specialized insights. - Evaluates consumer feedback to derive patterns and insights ","Bachelor’s degree in marketing, Business, Economics, or a related field.  - 3+ years of experience in market research and analysis - Proven experience in market analysis, data interpretation, and trend forecasting - Familiarity with statistical analysis tools and market research methodologies - Strong understanding of business and marketing principles - Knowledge of the building materials industry and market trends relevant to the company “is preferable.” - Certifications in market research or analytics would be an advantage. - Exceptional analytical and critical thinking skills - Proficiency in data analysis and interpretation - Excellent written and verbal communication skills - Ability to work independently and collaboratively in a team environment - Strong attention to detail and accuracy - Proficient in Microsoft Office Suite and data visualization tools.  - "
17,17.0,Junior Well Log Analyst,TGT group,unknown,"Kuwait City, Kuwait • ",https://wuzzuf.net/jobs/careers/TGT group-Kuwait-95568,"Riyadh, Saudi Arabia",Posted 5 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,information technology (it) - computer science - software development - software engineering - engineering - analysis - development - quality control - quality - analytical - data ,,not mentioned
18,18.0,Analyst - Technology Fraud Management - du,Qureos,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Qureos-Saudi Arabia-95298,"Dubai, United Arab Emirates",Posted 13 days ago,2023-11-26,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,"Conduct fraud incident investigations in an efficient and ethical manner in line with du’s processes and international best practices.  - Generate all incident Reports and ensure that all incidents of Fraud are supported by comprehensive documentation covering all aspects of detection/reporting, investigation, closure and analysis.  - Coordinate in the investigation of fraudulent activities on du’s network and customer base through gathering additional data from sources other than the FMS where required and providing the analytical  - Support Prevention and Detection activities through Data Analytics, investigation of Alerts/Alarms raised by the Prevention and Detection teams wherever it requires external (to the unit) inputs.  - Coordinate with Fraud Team members in the resolution of fraud cases and investigate all fraud – possibly fraudulent behavior not detected or prevented by the Fraud Management unit itself but reported by an external entity.  - Handle the Fraud Management Cycle (Prevention, Detection, Investigation, Response) and feed new trends, risks and intelligence.  - Control and set up an information network to feed the Fraud Management unit, which includes external sources such as dealer-informants and internal sources such as employee reports and anonymous listening posts.  - Lead the closure of all alerts/alarms on the FMS regardless of the specific area they relate to and also participate in all key Fraud Management processes where required.  - Minimum bachelor's degree.  - Minimum of 8- 12 years of experience as a Fraud Analyst or Specialist in a Tier 2 or higher Telco, preferably with both Wireless and Wireline operators.  - Telecommunications domain knowledge – both commercial (relating to activations, sales, administration of customers/products) and technical (relating to provisioning and subscriber management platforms).  - Excellent Analytical skills to extract meaningful information from large volumes of data.  - Experience with Statistical Modelling Tools is preferable.  - Experience with automated subscriber/customer behavior analytical tools in other industries such as Financial Institutions may also be considered in lieu of part of the Telco experience required.  - Excellent computer skills including MS Office and use of Analytical software such as SAS/ACS and SQL language. ",not mentioned
19,19.0,Data Analyst,Confidential Company ,unknown,unknown,unknown,"New Cairo, Cairo",Posted 1 month ago,2023-11-26,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,BI - Analysis - Data Analysis ,,
20,20.0,Financial Analyst,Cilantro,"Food and Beverage Production, Food Services/Restaurants/Catering","Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955,"Maadi, Cairo",Posted 6 days ago,2023-11-26,2 to 4 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, 10% Monthly Incentive",Accounting/Finance ,Analysis - Commerce - Finance - Data Analysis - Financial Analysis ,Analyze business and financial data. - Creates financial models based on analyses to support organizational decision-making. - Develops financial plans and reports for organizational leaders. - Analyze industry trends and makes recommendations based on those trends. - Evaluates capital expenditures and depreciation. - Develops automated reporting and forecasting tools for more efficient use of data. - Performs other related duties as assigned. ,"BS degree in Finance, Economics or a related field - Minimum 2 years of proven working experience as a Financial Analyst - Excellent verbal and written communication skills. - Thorough understanding of Generally Accepted Accounting Principles (GAAP). - Thorough understanding of Generally Accepted Auditing Standards. - Thorough understanding of methods of systems analysis and the principles, design, and procedural methods - used in big data analysis. - Thorough understanding of project management. - Excellent organizational skills and attention to detail - "
21,21.0,Senior Business Analyst,BI-Technologies,Computer Software,"Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,echnologies ,Posted 5 days ago,2023-11-26,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Profit Share, Transportation, Medical Insurance, Social Insurance, Life Insurance And Retirement Plan",Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology ,Business Analysis - business - Business Development - Computer Science - Information Technology (IT) - Data - Management - IT - Project Management - Communication skills - Communication - English ,"Prepare detailed analysis document with complete awareness with the appropriate techniques and well definition for functional and non-functional requirements. - Participate in the full life-cycle development process from product definition, through design, development, test, release, maintenance and developing innovative solutions to customer requirements. - Work with technology and business teams to define project specifications. - Enhance the efficiency of development, test, and release process; develop tools, frameworks. - Support developers and QC engineers by clarifying requirements or business concerns raised anytime within the development life cycle. - Effectively communicating with product owners’ insights and plans to support cross-functional team members and management. - Proactively communicate and collaborate with clients and internal teams to determine / analyze functional requirements and appropriate / accurate project scope considering business needs. - Translate complex business, functional and technical requirements into detailed work tasks; prepare project scope statements. - Develop requirements specifications according to standard templates. - Review the Documents with his manager and the technical team before finalizing and version the document. ","5+ Previous experience in Business Analysis - Previous experience in ERP is a MUST. - A degree in IT / Computer Science - Proven experience in eliciting requirements - Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools - Strong written and verbal communication skills including technical writing skills in both Arabic and English - Must have working experience on large scale projects as well as handling day-to-day operational requests - Strong project management, ability to successfully manage multiple tasks at any given point, strong relationship building skills & communication skills - "
