,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
10,Digital Marketing Data Analyst,Rashid Al Jabri Group,"Business Services - Other, Manufacturing, Real Estate/Property Management","Dubai, United Arab Emirates • More than 1000 employees",https://wuzzuf.net/jobs/careers/Rashid-Al-Jabri-Group-Egypt-49252,"Cairo, Egypt",Posted 22 days ago,11/8/2023,3 to 10 years,Manager ,Bachelor's Degree,Confidential,Marketing/PR/Advertising - Analyst/Research ,Analyst - Data Analyst - Digital Marketing - Market Research - Marketing - Data ,, - 
11,Master Data Analyst,Johnson & Johnson,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Johnson & Johnson-United Arab Emirates-93154,"Cairo, Egypt",Posted 24 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - Microsoft Office - SQL - Microsoft Excel - Data Analyst - Research - Data - Engineering - Computer Skills - Economics - Python - Commerce - English - Tableau - Statistics - Accounting - Business Administration ,,not mentioned
12,Data Analyst,UrbaCon Contracting & Trading Company,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/UrbaCon Contracting & Trading Company-Qatar-94631,"Doha, Qatar",Posted 25 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,"
Analyze data to look for consistencies and recurring themes. - 
Develop and perform data mining & exploration. - Analyze data to look for consistencies and recurring themes. - Develop and perform data mining & exploration. - Collaboration with Account Teams on all aspects of report creation, incl. deadlines, deliverables, edits, recommendations. - Identify, analyze and interpretation of client campaign data. - Investigate and analyze data problems and issues. - Provide recommendations on campaign performance improvements, based on client data and industry standards. - Work with Account Managers on finalization of reports.   - At least 5 years experience - Work experience as a data analyst or in related field ",not mentioned
13,UAE National - Pricing Executive (Data Analyst)| Al Futtaim Automotive | Toyota & Lexus,Al Futtaim Group - Other locations,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Al Futtaim Group - Other locations-United Arab Emirates-91431,Other locations ,Posted 20 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Administration - Customer Service/Support - Marketing/PR/Advertising ,Administration - Customer Care - Customer Support - Microsoft Office - Customer Service - Management - Admin - E-marketing - Health & Safety - Marketing - Office Management - Project Management - Quality - Android - Automotive - Business Development - CRM - CRM Marketing - CUST - Call Center ,"Prepare New Model, MY change and Special action model (PC & LCV Segment). - Support sales team / branch on daily request from system perspective    - Prepare / reconcile Fleet claim requests to TMC (PC & LCV segment) - Prepare and submit all pricing related approvals notes on GIAMS (PC & LCV segments) - Prepare and communicate pricing reports (sales below cost, arrivals report etc..) - Best In Town – Customer first approach to enhance efficiency at customer touch points  - Maintain and add pricing conditions on SAP, including pricelist / campaign  - Hands-on knowledge or experience in analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across stakeholders -  - Knowledge on some of the Data Analytics and Reporting Tools like Tableau, Power BI & Alteryx - Strong presentations skills, translating complex topics into easy to follow visual representations - Degree with demonstrated experience in Pricing / Projects / Supply Chain - Knowledge or work experience in pricing or data analysis - Automotive Product & Market Knowledge - Focus on driving commercial results with measurable KPIs - SAP Knowledge - Data Analytics tools - Attention to detail - Negotiation and Presentation skill - Ability to manage multiple tasks simultaneously  - Time management    ",not mentioned
14,Programme Assistant (Data Analyst),World Food Program - Other locations,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/World Food Program - Other locations-Egypt-92536,Other locations ,Posted 24 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Engineering - Telecom/Technology - Education/Teaching ,computer science - teaching - education - information technology (it) - design - english - management - training - economics - programming - analysis - communication ,,
15,Data Analyst,Confidential Company ,unknown,unknown,unknown,"Alexandria, Egypt",Posted 27 days ago,11/8/2023,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,analytical - Business Intelligence - Communication skills - English - Data Analysis - Amazon AWS - Information Technology (IT) ,"Migrate all existing Microstrategy reports into AWS Quicksight ensuring accuracy and minimal disruption. - Collaborate with stakeholders to understand our industry, client needs, and key performance metrics. - Design and develop new analytic reports, translating business needs into actionable insights. - Work with the sales and marketing departments to determine their reporting requirements. - Ensure the security and confidentiality of data. - Regularly review and optimize report performance and quality. - Familiarize oneself with ETL processes to aid in data extraction and transformation. - Stay updated with the latest industry trends and best practices in data analysis and AWS cloud analytics. - Provide training and support to team members on AWS Quicksight as needed. ","Bachelor's degree in Computer Science, Data Science, Information Systems, or a related field. - Fluent spoken and written English is a must. - Proficiency in AWS Quicksight and its functionalities. - Prior experience with Microstrategy or other Business Intelligence platforms. - Strong analytical mindset with the ability to interpret significant amounts of data. - Familiarity with ETL processes. - Excellent communication skills to translate data findings into understandable and actionable insights. - Experience with AWS and its suite of analytics and data services. - Knowledge of other BI tools in the market. - Experience in trade shows and events is a plus. - Detail-oriented and committed to data accuracy. - Able to work collaboratively in a team environment. - Self-starter with a proactive approach to problem-solving. - Capable of managing multiple projects and deadlines simultaneously. - "
16,Data Analyst,Tazweed,unknown,"Abu Dhabi, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Tazweed-United Arab Emirates-95395,"Abu Dhabi, United Arab Emirates",Posted 28 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Data Analysis - Analysis - Computer Science - Information Technology (IT) - SQL - Microsoft Office - Microsoft Excel - Data Analyst - Research - Business Analysis - Economics - Engineering - Python - Computer Skills - Data - English - Tableau - Commerce - Finance - Statistics ,,not mentioned
17,Analyst,Mercer,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/Mercer-United Arab Emirates-93557,"Riyadh, Saudi Arabia",Posted 1 day ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,,not mentioned
18,Analyst (Demand Management) – IT PMO & Partnerships,flydubai,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/flydubai-United Arab Emirates-91851,"Dubai, United Arab Emirates",Posted 4 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Analysis - Information Technology (IT) - Computer Science - Business Analysis - Finance - Accounting - Microsoft Office - Financial Analysis - Research - Data Analysis - Engineering - Software Development - System Analysis - Commerce - SQL - Software - Microsoft Excel - Analyst - Computer Engineering - English ,"Oversees the allocation and utilization of IT Project resources, for both flydubai and consultant project teams. - Streamlines resource allocation to ensure optimal project execution and resource efficiency. - Manages, monitors, and reports on monthly cost optimization efforts aimed at channelling over half of the Opex expenditures into Capex projects. - Aims to reallocate more than half of the approved Opex budget, , towards capital expenditure initiatives. - Collaborates with the Training & Development department to develop and execute a comprehensive skills enhancement plan for  flydubai staff. - Aligns skill development initiatives with individual Professional Development Plans (PDPs) to enhance employee capabilities. - Implements a robust quarterly Project and monthly Key Performer rewards program. - Arranges and presents annual awards to recognize outstanding contributions to project success and individual performance. - Bachelor’s Degree (or equivalent) - Strong knowledge and experience in airline technologies, systems, and processes.  - Preferred No. of Years (with Relevant Degree) - 4 - Preferred No. of Years (without Relevant Degree - if applicable) - 7 - PMP certification (PMI) or Prince II Certification - Customer Focus - Team work - Effective Communication - Personal Accountability & Commitment to achieve - Resilience and Flexibility (Can do attitude) ",not mentioned
19,Senior Analyst - Insurance Operations,Mercer LLC,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Mercer LLC-Qatar-96455,"Cairo, Egypt",Posted 1 day ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,,not mentioned
20,Quantitative Finance Analyst,Charterhouse Middle East,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Charterhouse Middle East-Qatar-91678,"Dubai, United Arab Emirates",Posted 12 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Accounting/Finance - Administration - Analyst/Research ,Accounting - Finance - Financial Analysis - Commerce - Microsoft Office - Analysis - Economics - Microsoft Excel - Data Mining - Feasibility - Feasibility Studies - Feasibility Study - Financial Analyst - Financial Modeling - MBA - Quantitative Research - Admin - Administration - Business - Business Analysis ,,not mentioned
21,Senior Analyst (Vendor Management) – IT PMO & Partnerships,flydubai,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/flydubai-United Arab Emirates-91851,"Dubai, United Arab Emirates",Posted 7 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,"Oversees the management of Opex/Capex resources, including the timely initiation of Purchase Requests (PRs) and Purchase Orders (POs).  - Ensures prompt vendor payments, encompassing around 45,000 person-days of resource utilization. - Supervises the execution of Turnkey and Fixed Bid projects awarded to our development partners, ensuring their successful delivery within scope, budget, and timelines. - Manages the financial aspects of the IT Opex portfolio, including budget tracking, cost optimization, and financial reporting. - Conducts monthly Business and Technology Service reviews with vendors and fosters collaborative relationships, addresses concerns, and drives continuous improvement. - Monitors and reports on the status of payments to vendors, ensuring adherence to Service Level Agreements (SLAs) and payment credit periods.  - Collaborates closely with Procurement and Finance teams to secure timely approvals and payments. - Develops and maintains key performance indicators (KPIs) to assess vendor performance, service quality, cost-effectiveness and implements improvements based on data-driven insights. - Ensures that vendors comply with contractual obligations and meets the established performance standards, promptly addressing any discrepancies or non-compliance. - Identifies and mitigates risks associated with vendor relationships, including potential cost overruns, service disruptions, or contractual disputes. - Collaborates with stakeholders to select and onboard new vendors, ensuring alignment with organizational goals and standards. - Seeks opportunities proactively for process optimization, cost reduction, and operational efficiency within the vendor management framework. - Maintains effective communication with internal stakeholders, including IT teams, Procurement, Finance, and Business Units, to align vendor management activities with organizational objectives. - Conducts regular vendor performance assessments and provides constructive feedback to enhance service delivery. - Bachelor’s Degree (or equivalent) - Degree in Statistics or Business Data Science (preferred) - Strong knowledge and experience in airline technologies, systems and processes. - Preferred No. of Years (with Relevant Degree) - 5 - Preferred No. of Years (without Relevant Degree - if applicable) - 8 - PMP certification (PMI) or Prince II Certification - Customer Focus - Team work - Effective Communication - Personal Accountability & Commitment to achieve - Resilience and Flexibility (Can do attitude) ",not mentioned
22,Principal Tax Analyst,McDermott International,unknown,"Dubai, United Arab Emirates • ",https://wuzzuf.net/jobs/careers/McDermott International-United Arab Emirates-92543,"Dubai, United Arab Emirates",Posted 13 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Accounting/Finance - Human Resources - Analyst/Research ,Accounting - Finance - Microsoft Office - Commerce - Tax - ACCA - Arabic - CAP - English - Data Management - Human Resources (HR) - Recruitment - Research - Resourcing - SAP - jQuery - Analysis - Analyst - Business Analyst ,"Responsible and Accountable for all tax-related operational/tactical matters - Supervises team of tax analysists and administrative staff - Prepares schedules and assigns work to meet deadlines - Provides input into employee evaluations and performance ratings - Prepare and file quarterly and annual tax returns, ensuring accuracy and timeliness. - Completion of tax assessments and obtain tax clearances - Contribute to an efficient tax structure. - Participate in the implementation Corporate Income Tax procedures - Conduct constant research on tax laws and regulations, providing recommendations for optimization. - Collaborate with cross-functional teams to streamline tax-related processes - Support to Commercial on designing efficient tax working - Audit support on the tax matters - Any other matters, as necessary based on the requirements of the business finance and accounting - Typically 10+ years since first degree and 7+ years of relevant experience - 7+ years in a Tax Supervisory role - CA/CMA/CPA/CIMA/ACCA or equivalent ",not mentioned
23,Senior Business Analyst,MENASSAT,Real Estate/Property Management,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/MENASSAT-Egypt-69489,"New Cairo, Cairo",Posted 10 days ago,11/8/2023,5 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,Analyst/Research ,Analysis - business - Business Analysis - Business Development - Communication - Communication skills - Data - quality - Technical Writing ,"Define configuration specifications and business analysis requirements - Perform quality assurance - Define reporting and alerting requirements - Own and develop relationship with partners, working with them to optimize and enhance our integration - Communicate key insights and findings to product team - Constantly be on the lookout for ways to improve monitoring, discover issues and deliver better value to the customer - Will play a crucial role in analyzing our company's operations and identifying areas for improvement and growth. - Responsibilities will include gathering and documenting business requirements, conducting market research, and collaborating with cross-functional teams to deliver innovative solutions.- Conduct market research and competitor analysis to identify industry trends and opportunities. ",Previous experience in Business / Systems Analysis or Quality Assurance - Proven experience in eliciting requirements and testing - Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools - Basic knowledge in generating process documentation - Strong written and verbal communication skills including technical writing skills - 
24,QUALITY ANALYST,King Faisal Specialist Hospital & Research Centre,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/King Faisal Specialist Hospital & Research Centre-Saudi Arabia-94630,"Riyadh, Saudi Arabia",Posted 16 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Quality - Analyst/Research - Pharmaceutical ,Quality - Quality Control - Quality Assurance - Pharmacy - Analysis - Science - Computer Science - Information Technology (IT) - Analyst - HPLC - Engineering - Pharmaceutical - Customer Care - Data Analysis - GC - QA - Research - UV - Agile - Chemical Analysis ,,not mentioned
25,Channel Marketing Analyst (Temp 1 Year),Schneider Electric - Egypt,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/Schneider Electric - Egypt-Egypt-91590,Egypt ,Posted 12 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,Marketing/PR/Advertising - Analyst/Research - Media/Journalism/Publishing ,Marketing - Market Research - Analysis - Research - Advertising - Branding - Business - Business Analysis - Digital Marketing - Economics - Microsoft Office - Data Analysis - Market Analysis - Marketing Analysis - Business Administration - Microsoft Excel - SPSS - Social Media - Statistics - Business Development ,Fluent in English  - French language will be valuable  ,not mentioned
26,Senior Analyst,Professional Recruitment,unknown,"Riyadh, Saudi Arabia • ",https://wuzzuf.net/jobs/careers/Professional Recruitment-Saudi Arabia-91313,"Riyadh, Saudi Arabia",Posted 16 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,,
27,Senior Analyst - Accounting,S.C. Johnson & Son Inc,unknown,"Cairo, Egypt • ",https://wuzzuf.net/jobs/careers/S.C. Johnson & Son Inc-Egypt-94731,"Cairo, Egypt",Posted 11 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,"Handling CH6 business (MENAPT and French West Africa) - Perform periodic G/L reconciliations in line with company policies - Help to establish/update controls as needed for new processes or changes to current processes in accordance with global policies - Month end closing accounting activities. - Coordination internal and external audits as well as SOAR testing - Strong accounting and financial skills. - Knowledge and experience of SAP, Business Warehouse, BPC or similar ERP system preferred - Experience of monthly closing, balance sheet, month-end reporting, accruals and reconciliations. - Strong internal controls capabilities. - Minimum 3 years of experience. - Based in Egypt, we can offer you a competitive salary, profit share and benefits. ",not mentioned
28,Senior Analyst - Business Application - Oracle Fusion,Sidra Medicine,unknown,"Doha, Qatar • ",https://wuzzuf.net/jobs/careers/Sidra Medicine-Qatar-91683,"Doha, Qatar",Posted 14 days ago,11/8/2023,Not Specified,Not specified ,Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Information Technology (IT) - Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis - Microsoft Office - Software Development - System Analysis - Computer Engineering - Engineering - Commerce - Project Management - Software - Business - Communication Skills - English - Analytical - Data Analysis ,,not mentioned
