,role_title,company_name,company_industry,company_headquarter,company_url,location_of_job,posted_time,collect_date,experience_needed,career_level,education_level,salary,job_categories,skills_and_tools,job_description,job_requirements
10,Financial Analyst - Innoventures,Cultiv,"Business Services - Other, Management Consulting, Venture Capital and Private Equity","Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/Innoventures-Egypt-222,"Heliopolis, Cairo",Posted 5 days ago,2/25/2023,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,4000 to 7000 EGP Per Month,Accounting/Finance - Analyst/Research ,Financial Analysis - Finance - Accounting - Analysis - Financial - Economics - Excel - Computer Skills - Analytical - Data - Communication - investment - English - Commerce - business ,"Communicating and liaising with the firms portfolio companies to develop monthly and quarterly performance and reporting needs. - Using network and research to find new companies to induct into the firms portfolio. - Conduct economic, market and industry research. - Conduct deal analysis and extensive due diligence on potential investees. - Analyze financial data and conduct modeling and valuation. - Structure and execute transactions in addition to other deal-closing activities. - Manage relationships with various stakeholders such as investors, investment committee and other partners. ","2+ years of work experience in a related investment field (e.g. VC/PE/IB, investment, consulting, etc.). - Remarkable financial and analytical skills and proficiency in spreadsheet modeling. - Willingness to work in a fast-paced, deadline-oriented environment. - Sharp business acumen and deep understanding of venture capital and entrepreneurship ecosystems. - A degree in Finance, Business, or relevant field. - Excellent writing, communication and organization skills. - Excellent interpersonal skills and ability to establish trust. - Highly competent in the use of needed computer skills (Advanced knowledge of Excel). - Strong analytical and data gathering skills. - High proficiency in financial modeling techniques. - Able to easily and fluently communicate in English & Arabic Language [both verbally and written]. - "
11,Business analyst,Dawi Clinics,Healthcare and Medical Services,"Cairo, Egypt • 101-500 employees",https://wuzzuf.net/jobs/careers/Dawi-Clinics-Egypt-22444,"Maadi, Cairo",Posted 4 days ago,2/25/2023,2 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research ,Analysis - Business Analysis - Data - Information Technology (IT) - Information technology - Power BI - BI - Technical Writing - Project Management - Computer Science ,"Sound knowledge of the healthcare business  (preferred)  - Minimum 2 years of working experience in business analysis - Experience of working with development teams and solution providers - Experience in assessing, documenting and executing project requirements, scope analysis, and test plans, delivering projects on time and within scope - Experience in organizing and coordinating the delivery and testing with business, developers and testing team - Ability to influence stakeholders and work closely with them to determine acceptable solutions. - A good knowledge of UAT test, Test cases\scenarios, and supporting UAT.  - Study, collect, and document business requirements.  - Support the Project Managers with the definition of the vision, and goals and prepare the product roadmap as per agreed priorities - Support the realization of business cases through related KPIs. - Excellent Communication, Facilitation, and Elicitation skills - Problem-solving and Critical thinking. - Excellent Documentation and specification skills. ","Bachelor’s degree (or equivalent) in information technology or computer science - Strong working knowledge of relevant Microsoft applications, including Visio - Strong working knowledge in project management and team collaboration tools like confluence and/or Jira - Proven ability to manage projects and user testing - Extensive experience with data visualization tools like Power BI, Tableau, Kibana etc - High proficiency in technical writing - "
12,Senior Sales Analyst (Power BI),Alarabia Group,"Manufacturing, Retail, Wholesale Trade","Sharqia, Egypt • 501-1000 employees",https://wuzzuf.net/jobs/careers/Alarabia-Group-Egypt-11230,"10th of Ramadan City, Cairo",Posted 10 days ago,2/25/2023,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Sales/Retail ,Computer Science - Customer Service - Design - Development - Experience - Management - Sales - Data - sales skills - Sales Target - Science - SQL - Administration - business - Business Administration - Powerbi - TO - BSc ,Compile and analyze data over time to forecast sales trends - Communicate with management team regularly - Review past sales data to determine trends in productivity - Prepare accurate reports using data from internal and external sources - Present actionable information and insights to team members and management - Gather and analyze data in order to understand problems and address them proactively - Collaborate with team members and members of other departments ,BSc. in Business Administration or relevant field - 2 to 4 Years of experience in the same position. - Experienced in analyzing data inside or outside PowerBI using other tools. - 
13,Senior Market Research & Data Analyst,Onecard,Internet/E-commerce,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/Onecard-Egypt-2829,"Nasr City, Cairo",Posted 1 month ago,2/25/2023,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Analyst/Research ,SPSS - Market Research - Analysis - Statistics - Microsoft Office - Web Analysis ,"Receiving and handling market research requests from different departments - Support the internal teams in shaping their new strategies and revamping their portfolios, in which the insights provided was considered as key element of the process. - Follow up with teams on actions taken based on research findings and its impact on business. - Handling key tracking studies which is key for setting the business targets and measuring performance against the competition. - Designing the new internal surveys, including development of questionnaires, and designing sampling approaches and structure. - Revising and validating the research proposals and presenting it to the internal client for confirmations & approvals. - Briefing the interviewers and external agency researchers. - Developing top lines and final report presentations. - Performing and processing customers’ data and responses using SPSS® and other applications. - Applying quality measures and audit research performance on a project-by-project basis. - Participating in competitive information gathering. - Identify and solve problems that arise in the research process and ensuring that the findings are delivered to the set time scale - Conducting filed work data collection through different channels (phone, face to face, etc..,). ","Bachelors degree in Business, statistics or related field. - 3-5 years of experience in market research and analysis, Fintech background is mandatory - Analytical thinker with strong theoretical and research proficiency. - Ability to comprehend and interpret competitor strategies and consumer behavior. - Thorough knowledge of marketing programs and strategies. - Ability to gather large amounts of data and convert it into meaningful analysis. - Solid organizational skills and detail-oriented. - Ability to work under pressure and meet strict deadlines. - Strong proficiency in math, web analytics and business research tools. - Brilliant written and verbal communication skills. - Ability to simplify complex information into a user-friendly format. - Proficient in Microsoft Office is essential, databases and statistical packages SPSS is puls. - "
14,Senior Business Analyst,Egabi FSI,Information Technology Services,Egypt • 101-500 employees,https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,"Sheraton, Cairo",Posted 18 days ago,2/25/2023,5 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Business Analyst - Computer Science - Business Analysis - Information Technology (IT) - English - Data Analysis - Testing - Analysis - business - analytical - Communication skills ,"Gathering, analyzing and document clients’ requirements - Simplify and deliver the final requirements to the ‘‘’Development’’ and ‘’Testing” teams. - Troubleshoot and performing root cause analysis of problems. - Having regular – as need be - contact with the clients throughout the project life cycle. - Participate in user acceptance testing, followed by go-live planning and guidance after go-live. - Gathering feedback from end users to identify opportunities for improvement - Anticipate and report any delays/ obstacles, in addition to proposing corrective action - Propose to the ‘’implementation Head’’ the proposed software solutions with reference to the client need and participate in designing system’s non-technical configuration and custom reports. ","5+ years of experience working on the IT sector either on vendor side or clients side (Financial business, banks, Microfinance & Mortgage companies, etc) - Experience in projects’ analysis, testing and user acceptance - Possess analytical mindset and have attention to details - Excellent communication skills, and literacy of common business etiquette - Excellent English speaking and business writing - Excellent command of PowerPoint , data analysis charts preparation and possessing confident presentation skills - Competitive monthly salary. - Social/ Family Health insurance (We bear it entirely). - Great Place to work located in Sheraton Heliopolis, Cairo. - Awesome Team, we have the best team that is supportive, collaborative, professional and fun. - "
15,System Analyst ( software house Company ),Houya Arrow,Information Technology Services,"Cairo, Egypt • 51-100 employees",https://wuzzuf.net/jobs/careers/Houya-Arrow-Egypt-78625,"Heliopolis, Cairo",Posted 14 days ago,2/25/2023,3 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Engineering - Telecom/Technology ,Agile - Scrum - quality - System Analysis - Business Analysis - Computer Science - Software - Software Testing - Data Mapping ,,"Analyzing user stories/use cases/requirements for validity and feasibility. - Collaborate closely with other team members. - Execute all levels of testing (System, Integration, Regression) - Review business requirements and provide inputs. - Prepare and review test plans. - Prepare test cases, test scripts and test data. - Execute tests (manual). - Testing Web services, APIs and Mobile Applications (iOS Android). - Report defects and assist in their understanding. - Familiar to use ALM tools like (Jira, tfs, JMeter, postman, Trello). - Good writing Bug Reporting & Test Case skills. - Prepare and present test reports. - Train, mentor and supervise junior software testing engineers. - Writing clear and concise bug reports and scenarios to ensure clear communication with the software developer - Testing software releases by executing assigned tests - Testing web services and APIs - Following up with junior software testers and reporting status to the team leader - Reporting overall project status and generating statistics - Develop and Maintain Testing Plan - Contribute in Improving Test Process - Design and execute in one or more of the Following Testing Types, Performance and Security - BSc in Computer Science or related degree. - At least 2 years’ experience in testing Web and Mobile Applications. - Excellent attention to detail to identify defects including Functional/ Non-Functional defects. - Passionate about quality of our applications. - ISTQB Certification - Previous working experience involving agile Scrum, E-commerce  - Experience in the following areas of testing: automation, performance, security is preferably. - "
16,Fleet Data Analyst,Seoudi Supermarket,Retail,"Giza, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,"Giza, Egypt",Posted 1 month ago,2/25/2023,3 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Operations/Management - Analyst/Research ,Analyst - analytical - Data - Data Analyst - Finance - Data Analysis - Analysis ,"Calculate Fleet CPK on weekly basis. - Determine fleet availability and utilization. - prepare root cause failure analysis report - prepare and present daily breakdown reports. - prepare fleet dashboard and KPI’S. - Submit reports includes MTTR, MTTF, MTBF  - Monitor downtime period and coordinate to minimize it. - Classify malfunctions into various types with its own count and cost. - Follow up with fleet team that PM is done on time as per OEM Standards. - Daily report for count of work orders and its types and PM Which is not done. - Extract and calculate Re-Do Jobs and monitor FRFT Parameter. - Road failures daily reports. - Controlling costs by ensuring that vehicles are maintained properly and efficiently. - Analyzing data to make recommendations about purchasing new vehicles or retiring old ones. - Conducting market research to determine the best type of vehicle to purchase for the fleet based on factors such as price, safety features, fuel efficiency, and seating capacity. - Monitoring fleet performance to ensure that each vehicle is used efficiently according to its purpose. - Recommending changes in routes or schedules to improve efficiency of fleet operations. - Monitoring insurance coverage on vehicles to ensure that adequate coverage is always in place. - Estimating the cost of repairs needed on vehicles based on inspection results. - Maintaining contact with vendors to order parts and repair services when needed. - Preparing reports detailing fleet operations such as fuel consumption, mileage records and CSI reports. - Acting as key person with other related departments  ","Bachelor’s Degree in business, economics, Finance, or another closely related fields. - Minimum 3 years solid experience as a data analyst in fleet management. - Expert using Excel, Power Bi, Six sigma, Data Visualization. Data Cleaning or any other related analysis apps. - Strong reporting and presentation skills. - Deep experience in managing budgets. - Working knowledge of fleet maintenance software programs - Excellent knowledge in Fleet main KPI’s parameters , Cost optimization and Fleet targets. - Excellent analytical skills and attention to details. - Problem solving and good communication skills. - Team Oriented, Fleet key person with other related departments. - Ability to assist and train fleet tam whenever requested. - "
17,Big Data Business Analyst (KSA),Ejada ,"Computer and Network Security, Computer Software, Information Technology Services","Cairo, Egypt • More than 1000 employees",https://wuzzuf.net/jobs/careers/Ejada--Cairo--Egypt-9273,"Riyadh, Saudi Arabia",Posted 1 month ago,2/25/2023,7 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development - Engineering - Telecom/Technology ,business - Analysis - Data Analysis ,,"Previous experience in Business / Systems Analysis. - Bachelor’s Degree in Management Information Systems, Computer Science, Computer Information Systems, or equivalent Information Technology discipline - 6-10 years of experience. - Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. - Leading ongoing reviews of business processes and developing optimization strategies. - Conducting meetings and presentations to share ideas and findings. - Performing requirements Business and source systems analysis. - Documenting and communicating the results with customer and stakeholders. - Effectively communicating your insights and plans to cross-functional team members and management. - Gathering critical information from meetings with various stakeholders and producing useful reports. - Working closely with clients, technicians, and managerial staff. - Providing leadership, training, coaching, and guidance to junior staff. - Ensuring solutions meet business needs and requirements. - "
18,Tariff Analyst,Tripathon,Information Technology Services,"Cairo, Egypt • 11-50 employees",https://wuzzuf.net/jobs/careers/Tripathon-Armenia-37809,"Nasr City, Cairo",Posted 24 days ago,2/25/2023,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Analyst/Research - Tourism/Travel ,Microsoft Excel - Data Entry - English - Communication - Microsoft Office ,Entering contract rates into Tripathon’s back office - Monitoring rates of competitors - Contacting hotels to solve price & allotment disputes - Performing data & trend analysis and sharing feedback with hotels - Sharing conclusions with Tripathon contractors & other departments - Participating in preparation of sales reports & comparisons - Shifting bookings to maximize profits ,"University degree  - Excellent command of English language, both written and spoken - Good knowledge of Excel - Accurate and thorough person with an eye for details - Outstanding phone and email etiquette - Ability to thrive in a deadline-driven environment - Smart and flexible - "
19,Data Analysis Instructor,Zero Grad,Computer Software,"Cairo, Egypt • 1-10 employees",https://wuzzuf.net/jobs/careers/Zero Grad-Egypt-87255,"Cairo, Egypt",Posted 13 days ago,2/25/2023,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development - Analyst/Research - Training/Instructor ,Online Teaching - Data Analysis - Data Analyst ,Develop a professional course material. - Deliver an Online Course. - Monitor and assist students during the course. ,Ideal Candidate:- Work as Data Analyst or Data-related role.- Previous Experience with Online Teaching.- Has his own professional course materials. - 
